loc,complexity,args,nesting_depth,returns,variables,methods_called,is_smelly
28,2,2,1,2,3,1,0
118,27,7,9,5,26,10,1
92,30,6,7,12,26,11,1
150,11,0,8,2,22,12,1
139,30,5,7,14,28,21,1
27,1,0,2,1,4,3,0
26,1,0,2,0,1,0,0
5,2,1,1,2,4,1,0
222,24,6,9,7,24,18,1
19,4,2,0,2,1,2,0
218,32,6,6,9,13,21,1
28,2,3,1,0,1,3,0
13,2,0,0,2,1,1,0
180,26,11,6,13,13,12,1
268,21,10,6,8,21,18,1
154,22,10,4,7,18,8,1
191,28,9,9,6,26,11,1
21,2,2,0,0,4,1,0
8,2,2,0,2,1,1,0
8,3,2,2,1,1,2,0
223,35,6,5,11,14,8,1
12,3,3,1,1,3,3,0
217,39,6,5,14,12,9,1
16,2,3,1,1,3,2,0
247,24,5,5,5,12,23,1
5,3,0,1,1,4,2,0
120,23,10,6,12,29,9,1
294,28,5,7,6,29,19,1
136,24,10,4,6,26,19,1
22,4,1,2,0,1,1,0
111,35,9,8,7,14,20,1
248,34,6,6,10,26,20,1
234,29,9,4,14,24,9,1
247,8,2,2,3,24,15,1
269,34,7,7,13,17,17,1
213,26,6,4,13,24,24,1
285,26,5,8,10,14,17,1
18,2,2,0,0,4,3,0
7,2,2,0,2,4,1,0
255,12,6,8,1,8,6,1
291,18,7,7,4,14,8,1
37,30,3,0,8,23,1,1
155,15,11,9,12,21,17,1
13,2,0,0,2,3,2,0
25,1,1,2,0,1,1,0
9,3,1,0,1,3,0,0
194,35,9,4,13,23,24,1
7,4,3,1,1,2,3,0
24,2,0,2,0,3,1,0
6,3,3,0,1,4,3,0
112,39,11,4,13,18,10,1
10,1,2,2,0,4,2,0
18,3,1,0,1,1,2,0
27,4,2,1,0,2,1,0
147,24,8,4,7,13,14,1
105,9,5,7,11,22,9,1
254,10,8,4,6,15,11,1
19,4,1,0,2,3,1,0
18,3,1,0,0,2,2,0
19,3,3,2,2,3,1,0
5,1,0,1,1,4,0,0
185,36,7,4,5,24,23,1
106,23,9,2,6,28,9,1
170,32,6,5,11,12,20,1
119,11,9,5,4,28,20,1
25,3,1,1,1,3,1,0
61,14,9,9,8,11,19,1
6,4,3,1,0,3,1,0
