lines_of_code,cyclomatic_complexity,num_functions,num_classes,avg_function_length,defect
910,12,7,79,70,1
3822,9,197,72,180,1
3142,20,99,92,152,1
516,39,52,79,159,1
4476,27,162,75,169,1
3494,3,28,77,14,1
3221,24,5,37,131,1
2969,15,143,32,162,1
180,34,161,60,13,1
1735,32,48,88,6,1
819,21,28,86,140,1
2441,1,84,70,173,1
2483,33,28,46,191,1
1234,11,117,96,133,1
4605,3,79,6,90,1
3435,22,120,84,101,1
4167,10,163,10,9,1
4893,44,64,81,125,1
2954,38,105,74,135,1
524,24,196,84,150,1
1132,7,27,82,174,1
2608,49,173,90,188,1
2097,49,10,11,72,1
2797,36,14,65,97,1
1025,1,175,69,50,1
1856,1,77,77,9,1
239,26,181,47,199,1
2784,17,66,24,162,1
3055,11,178,38,172,1
4708,3,43,78,95,1
1949,10,169,23,175,1
1317,2,41,20,140,1
1578,32,47,96,7,1
3252,16,45,19,150,1
3606,48,93,43,66,1
3940,26,65,47,83,1
696,40,17,5,87,1
2938,39,172,71,65,1
2485,10,57,30,50,1
650,36,33,70,46,1
2413,30,63,35,119,1
2111,9,196,91,21,1
291,5,181,36,72,0
2091,7,154,33,124,0
2874,36,88,87,87,1
2662,1,71,99,187,1
1413,27,171,5,69,1
1528,12,181,87,196,1
2606,16,90,75,102,1
825,48,14,59,12,1
4064,8,179,30,40,1
84,25,125,29,95,1
3202,13,165,18,147,1
2005,41,45,21,134,1
1635,10,123,28,180,1
3993,40,139,18,31,1
3123,33,65,85,139,1
1071,35,163,47,187,1
3511,37,160,52,22,1
2663,39,178,74,81,1
3893,28,33,35,28,1
1550,16,69,18,112,1
4848,8,33,3,163,1
211,33,66,14,84,1
4347,35,33,62,33,1
2031,38,152,5,16,1
1045,12,141,84,14,1
4961,15,7,64,199,1
3392,17,35,3,62,1
4601,27,19,79,90,1
3848,21,98,92,39,1
1325,21,162,25,123,1
1066,17,154,95,125,1
387,27,198,83,179,1
928,12,53,64,104,1
1126,48,182,80,160,1
4937,44,99,3,118,1
4043,36,151,99,68,1
4909,28,191,35,197,1
429,25,10,83,67,1
542,9,36,81,113,1
2112,47,103,3,139,1
3934,37,161,76,164,1
114,23,187,25,23,1
2618,11,65,51,96,0
2077,1,127,50,77,1
2745,16,161,58,53,1
1545,13,119,72,157,1
441,20,71,20,148,1
4564,16,189,61,142,1
4524,16,144,15,155,1
3611,35,192,25,116,1
2328,32,188,37,108,1
3149,23,115,29,90,1
250,25,14,25,137,1
4925,43,174,97,198,1
3154,28,165,83,194,1
4648,45,134,22,128,1
2504,2,69,95,174,0
3695,3,11,29,191,1
854,31,199,25,168,1
2781,33,138,87,123,1
2823,33,146,55,138,1
1620,47,104,66,59,1
2740,35,123,87,9,1
3890,36,82,30,69,1
1078,26,131,21,179,1
552,12,30,21,72,1
4543,44,51,55,43,1
920,46,141,58,169,1
4538,11,90,8,54,1
256,6,147,86,47,1
1534,25,11,86,176,1
913,46,69,19,135,1
2840,34,25,26,105,1
613,35,93,26,82,1
4241,21,22,60,154,1
1807,18,173,28,157,1
1728,8,160,67,85,1
3292,34,163,51,88,1
4686,48,57,14,26,1
1109,14,180,6,107,1
1772,19,55,83,135,1
3364,20,192,72,143,1
3207,4,90,92,174,1
2675,38,131,74,32,1
2779,32,36,65,34,1
1647,26,60,23,57,1
3110,28,120,65,110,1
2743,12,159,75,43,1
4941,10,7,21,150,1
3677,41,84,68,125,1
1413,35,107,79,117,1
2031,33,83,70,183,1
1713,14,45,42,67,1
1579,40,40,7,21,1
2088,23,69,50,115,1
3352,18,118,83,107,1
2287,44,32,90,125,1
1356,12,174,80,38,0
4079,42,145,81,53,1
2725,36,183,80,8,1
1332,25,136,75,175,1
759,37,99,30,43,1
4794,40,134,47,120,1
